id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
2374286,,2,533c2d6e-3551-4a72-81a8-847b1019a5ea,2024-08-26 02:25:00 UTC,93.197.150.128,Lincoln,Nebraska,68506,Chrome,Organic,/product/765,product
1881433,,1,dc898f07-87c2-49ac-b90e-d95b2327f3aa,2019-05-09 12:19:00 UTC,81.141.63.76,London,England,SW12,Chrome,Adwords,/product/20449,product
1020130,78160.0,1,13236cf9-eb75-4c13-8b12-33e6a1aa4ecc,2024-06-05 17:45:38 UTC,95.125.39.139,Taizhou,Jiangxi,336011,Safari,Email,/department/men/category/fashionhoodies&sweatshirts/brand/alpinestars,department
1425752,,2,f26c25d6-f3db-4681-9aa2-fbc421fb1a56,2023-07-23 10:06:00 UTC,140.253.111.220,Hengyang,Jiangsu,226006,Chrome,Email,/product/11637,product
362514,27844.0,3,9394e143-44ac-41b3-baf7-5f7e5a43a8e3,2022-10-17 13:58:31 UTC,20.117.216.103,Baincthun,Hauts-de-France,62360,Chrome,Facebook,/cart,cart
254261,19637.0,13,515c4164-fede-43f0-add6-2f1849cd5f1d,2023-03-27 10:10:42 UTC,128.164.33.41,Indianapolis,Indiana,46229,Chrome,Adwords,/purchase,purchase
2218279,,1,8e69b2a2-cf99-401b-9f12-397b7388b33a,2020-05-16 07:24:00 UTC,55.89.85.38,Mokpo City,Jeollanam-do,530-350,Firefox,Email,/department/women/category/blazers&jackets/brand/tart,department
1966707,,3,e6caba1e-ff8a-4e05-9df4-352e223bf530,2021-08-23 12:57:00 UTC,138.173.61.18,Bethlehem,North Carolina,28681,Safari,Email,/cart,cart
52309,3905.0,1,6efc2a00-9a16-45e3-b934-1a0be3df85cc,2024-02-20 10:27:04 UTC,102.124.208.158,Virginia Beach,Virginia,23452,Firefox,Facebook,/department/men/category/outerwear&coats/brand/michaelkors,department
2136248,,3,8460c111-2e35-48fe-a82a-c0b339cbbdad,2024-08-23 19:08:00 UTC,66.139.242.64,Essen,Nordrhein-Westfalen,45279,Safari,Facebook,/cart,cart
1373433,,3,b6ae76d7-f929-4ba4-95cc-be82ae3e1087,2019-11-13 04:21:00 UTC,6.29.10.151,Changsha,Anhui,230022,Firefox,Facebook,/cancel,cancel
231708,17927.0,5,70d2dbed-00f5-4a64-92ab-b75278fb559f,2021-10-21 16:51:06 UTC,73.25.50.104,Nanjing,Hubei,430071,Chrome,Email,/product/948,product
1977848,,3,49a82d08-6029-4685-9267-b396b3b7385f,2020-12-08 07:39:00 UTC,129.211.218.104,Bolingbrook,Illinois,60490,Safari,Email,/cart,cart
1189604,91072.0,2,cc5c3c57-dd20-4a7f-9ef3-d3f2e137032d,2021-09-28 13:31:13 UTC,175.42.71.71,Stockyard Point,Queensland,4703,Chrome,Organic,/department/men/category/socks/brand/2xu,department
771333,59003.0,5,251e7f27-4ef0-4a2f-97be-52dca03625ad,2024-08-26 10:18:51 UTC,75.214.184.237,Barin Guo Yu Mongolu Autonomous Prefecture,Hunan,414000,Safari,Email,/product/28579,product
871496,66621.0,1,6d1d0159-482a-4f6b-9d08-d87e0e5808e3,2024-06-24 08:38:12 UTC,177.33.219.201,Uruará,Pará,68140-000,Safari,YouTube,/department/men/category/pants/brand/haband,department
1171630,89711.0,6,178eb4d0-af87-4d07-82eb-2b73831dda0b,2023-06-24 01:45:58 UTC,170.72.14.10,Daegu Metropolitan City,Daegu Metropolitan City,704-060,Firefox,Email,/cart,cart
1683335,,3,78ed210f-c196-4240-a5dd-df1faa9eac00,2022-01-20 17:52:00 UTC,53.211.235.16,Chengdu,Shandong,250061,Chrome,Email,/cancel,cancel
2047527,,1,c46a3b9e-24a2-41c6-8494-9f20827abf92,2019-07-18 01:49:00 UTC,126.202.155.181,Tuscaloosa,Alabama,35401,Firefox,Email,/department/women/category/leggings/brand/allegrak,department
2030381,,3,756dd0a4-7411-4b05-8869-78e6869125a7,2022-06-25 04:34:00 UTC,161.122.168.123,Farmington,Minnesota,55024,Safari,Adwords,/cart,cart
966506,73964.0,11,ca3f82ca-c706-4b13-8f04-d64a142916c1,2022-06-01 13:09:22 UTC,68.222.223.102,Maoming,Guangxi Zhuang Autonomous Region,536063,Chrome,Facebook,/product/22545,product
1263388,96714.0,6,882d4b38-12bb-42cc-9eb9-0a44d76f34b4,2023-08-13 05:53:20 UTC,19.19.126.246,Outreau,Hauts-de-France,62230,Chrome,Email,/cart,cart
590616,45284.0,6,0f41bde8-497e-4cf0-bd27-17bb9eb87ef6,2023-03-10 05:56:16 UTC,98.20.93.192,Salvador,Bahia,40301-155,Firefox,Adwords,/cart,cart
418742,32073.0,10,ab26bd94-89a2-42ea-80fb-007ca36db03b,2024-07-08 01:13:04 UTC,167.90.188.70,Shenzhen,Jilin,132001,Firefox,Email,/department/men/category/accessories/brand/levi's,department
55920,4177.0,2,704fcac2-5e10-49f8-b7ad-baa39838c161,2021-11-27 12:51:58 UTC,77.183.87.226,Seoul,Seoul,143-130,Chrome,Email,/department/men/category/fashionhoodies&sweatshirts/brand/lrg,department
158877,12213.0,4,ab60858e-0bcc-4c85-933c-51325473274e,2022-10-19 03:03:35 UTC,167.65.252.33,Ubajara,Ceará,62350-000,Firefox,Adwords,/cart,cart
2339367,,1,89dcb9c8-6e97-4649-995c-b7e4817a5627,2020-04-27 12:18:00 UTC,24.232.73.163,Gimpo City,Gyeonggi-do,415-880,Chrome,Email,/department/men/category/accessories/brand/thetiebar,department
185769,14344.0,6,e9bd7707-2440-4ee5-ad64-9fac8674ff9a,2023-08-18 12:31:07 UTC,64.253.161.250,San Francisco,California,94118,Chrome,Email,/cart,cart
1057369,80949.0,7,f512d4f9-2ec8-45c6-a988-abccf1340b1f,2022-04-28 04:24:39 UTC,163.145.32.120,Vechta,Niedersachsen,49377,Safari,Adwords,/department/women/category/intimates/brand/justsexy,department
350849,26966.0,5,5693411e-31d9-4d34-a385-701f985889a8,2020-05-12 10:12:32 UTC,120.186.114.203,Shanghai,Guangxi Zhuang Autonomous Region,545005,Firefox,Organic,/purchase,purchase
1184017,90679.0,2,cf5a867a-13bf-4f6c-9f2e-a80d362e15be,2024-03-10 12:15:27 UTC,168.165.7.48,Camp Springs,Maryland,20748,Firefox,YouTube,/department/men/category/suits&sportcoats/brand/josephabboud,department
454084,34747.0,3,c0fe36f1-9c67-486d-b858-060c545e619e,2020-10-04 14:23:33 UTC,195.95.110.29,Ansbach,Bayern,91522,Chrome,Email,/cart,cart
1591424,,1,a22e2e97-a36a-4291-ad04-1ec6a60ce270,2022-02-27 01:18:00 UTC,148.189.232.181,Ashford,England,TN23,Chrome,Email,/product/25432,product
2147992,,3,eed8b1b7-34f7-40f9-8920-f2137c30c8c9,2021-07-07 12:33:00 UTC,126.228.225.105,Chicago,Illinois,60619,Chrome,YouTube,/cancel,cancel
234999,18150.0,5,2918d2e2-2b51-43c5-85c7-8cff33b097d0,2023-10-27 08:56:28 UTC,136.106.196.28,Shanghai,Beijing,100081,Safari,Organic,/product/22345,product
2074495,,1,7fdc866d-0500-4c04-969a-24aa7f49303b,2022-12-19 16:05:00 UTC,24.211.156.197,Los Hueros,Comunidad de Madrid,28810,Safari,Adwords,/product/1012,product
15825,1180.0,1,fc731c9f-f542-466a-aaea-6bcfd7f75c23,2023-05-03 15:11:16 UTC,112.165.208.77,Tipton,England,DY4,Chrome,Email,/department/men/category/socks/brand/vanheusen,department
2326786,,2,8c7abb97-3d00-4dff-820c-683b7aa7bfca,2023-02-28 16:49:00 UTC,61.126.89.125,Manaus,Amazonas,69090,Chrome,Email,/cart,cart
63493,4745.0,11,543ecb21-48fd-417e-a805-cfda04c7562b,2023-10-23 23:31:24 UTC,185.40.33.146,Marechal Deodoro,Alagoas,57160-000,Chrome,Email,/product/26776,product
1972729,,1,efb8c61b-f049-4775-ae61-99d659a85e6b,2023-05-01 08:29:00 UTC,19.13.122.156,Yinchuan,Guangdong,518024,Safari,Adwords,/department/women/category/swim/brand/deltaburke,department
820189,62659.0,5,9a5e8175-1c7d-4054-83dd-13ca687d1c12,2023-03-31 07:37:55 UTC,107.25.97.222,New York,New York,11355,Firefox,Email,/product/7124,product
331476,25584.0,1,0e87f13d-de2f-4b8c-b003-6c8fbbc3dcb8,2022-12-28 17:37:20 UTC,157.208.85.241,Paris,Île-de-France,75016,Chrome,Email,/department/men/category/pants/brand/nautica,department
683932,52291.0,6,c84b509d-82c7-486a-ac2d-88bea0c9fccc,2022-04-27 23:25:10 UTC,137.197.94.123,Gimhae City,Gyeongsangnam-do,621-870,Safari,Email,/cart,cart
2413221,,3,9b3455b9-a884-47d5-900d-b53ae33ba7b3,2020-11-08 08:48:00 UTC,119.29.52.60,Gorzów Wielkopolski,Lubuskie,66,Chrome,YouTube,/cart,cart
1490274,,1,2ef7abe4-8729-4b54-befd-06fef40495b4,2020-09-21 12:53:00 UTC,61.114.92.29,Pithiviers-le-Vieil,Centre-Val de Loire,45300,Chrome,Adwords,/product/27742,product
