id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
29529,20405,16393,22830,79677,Complete,2023-08-13 22:27:20 UTC,2023-08-12 00:54:00 UTC,2023-08-12 04:28:00 UTC,,45.0
133880,92134,73613,12595,361065,Processing,2021-10-14 04:17:13 UTC,,,,11.989999771118164
41394,28597,22870,10306,111749,Returned,2024-07-02 12:51:20 UTC,2024-07-03 14:39:00 UTC,2024-07-07 05:10:00 UTC,2024-07-08 03:54:00 UTC,152.0
144349,99367,79452,14154,389445,Cancelled,2023-11-22 12:15:12 UTC,,,,87.5
130383,89677,71614,19166,351658,Complete,2022-10-05 07:57:47 UTC,2022-10-06 21:53:00 UTC,2022-10-11 02:35:00 UTC,,24.0
69172,47653,38114,28649,186867,Processing,2024-01-19 12:41:02 UTC,,,,15.989999771118164
47771,32991,26345,4371,128964,Processing,2022-02-28 22:56:03 UTC,,,,34.900001525878906
23825,16458,13183,3834,64292,Shipped,2024-05-19 07:50:37 UTC,2024-05-21 04:33:00 UTC,,,11.619999885559082
105812,72852,58177,9720,285655,Processing,2023-06-14 06:28:51 UTC,,,,28.799999237060547
111027,76455,61020,11156,299651,Returned,2024-05-17 21:57:44 UTC,2024-05-20 21:31:00 UTC,2024-05-23 08:16:00 UTC,2024-05-24 23:00:00 UTC,45.9900016784668
28178,19464,15564,2650,76021,Shipped,2020-10-10 03:36:51 UTC,2020-10-09 15:45:00 UTC,,,18.0
143869,99035,79189,24040,388096,Returned,2024-06-13 11:26:56 UTC,2024-06-15 04:00:00 UTC,2024-06-15 08:56:00 UTC,2024-06-18 00:29:00 UTC,60.0
13783,9507,7563,2654,37330,Cancelled,2023-06-03 03:55:51 UTC,,,,154.57000732421875
68405,47112,37650,14795,184788,Shipped,2024-07-24 00:56:59 UTC,2024-07-24 19:29:00 UTC,,,184.0
95784,65937,52624,22564,258495,Returned,2024-09-03 02:45:57.482693 UTC,2024-09-05 14:12:08.482693 UTC,2024-09-07 10:57:08.482693 UTC,2024-09-07 14:17:08.482693 UTC,89.98999786376953
86245,59402,47460,12745,232790,Returned,2019-11-25 21:16:48 UTC,2019-11-25 10:28:00 UTC,2019-11-27 08:19:00 UTC,2019-11-29 15:28:00 UTC,65.98999786376953
44829,30984,24792,28127,121068,Shipped,2022-08-17 12:52:29 UTC,2022-08-16 07:44:00 UTC,,,59.450000762939446
88595,61011,48755,22970,239115,Complete,2024-07-26 11:31:34 UTC,2024-07-27 10:27:00 UTC,2024-07-29 20:55:00 UTC,,36.430000305175774
48207,33293,26583,12880,130113,Processing,2024-04-22 15:09:45 UTC,,,,42.0
5654,3886,3115,21096,15372,Returned,2024-05-11 10:28:42 UTC,2024-05-12 18:43:00 UTC,2024-05-15 21:11:00 UTC,2024-05-17 03:25:00 UTC,34.9900016784668
42541,29410,23536,13962,114823,Shipped,2024-01-18 15:48:45 UTC,2024-01-18 23:10:00 UTC,,,81.37999725341797
