order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
116102,92866,Shipped,F,2023-11-19 08:21:00 UTC,,2023-11-21 00:16:00 UTC,,1
109728,87733,Cancelled,M,2021-10-07 04:04:00 UTC,,,,1
4319,3453,Shipped,M,2024-06-28 18:25:00 UTC,,2024-07-01 08:51:00 UTC,,1
14755,11829,Processing,M,2024-05-07 00:02:00 UTC,,,,1
85210,68010,Shipped,F,2023-11-29 06:04:00 UTC,,2023-11-30 16:07:00 UTC,,1
32922,26285,Returned,M,2023-11-21 02:04:00 UTC,2023-11-26 00:57:00 UTC,2023-11-21 11:31:00 UTC,2023-11-24 06:58:00 UTC,1
81214,64810,Returned,F,2021-11-10 06:02:00 UTC,2021-11-17 06:16:00 UTC,2021-11-11 02:51:00 UTC,2021-11-14 14:24:00 UTC,1
50167,40104,Cancelled,F,2024-06-22 16:35:00 UTC,,,,2
101882,81453,Returned,F,2023-11-04 16:11:00 UTC,2023-11-10 18:06:00 UTC,2023-11-06 04:34:00 UTC,2023-11-09 23:06:00 UTC,1
70462,56272,Complete,F,2021-08-20 10:40:00 UTC,,2021-08-20 13:41:00 UTC,2021-08-24 13:55:00 UTC,2
45485,36333,Shipped,M,2021-08-19 10:45:00 UTC,,2021-08-22 00:24:00 UTC,,1
89188,71229,Shipped,M,2022-12-14 16:14:00 UTC,,2022-12-14 19:33:00 UTC,,1
44659,35662,Shipped,F,2024-04-20 04:52:00 UTC,,2024-04-21 13:54:00 UTC,,3
19312,15438,Cancelled,F,2022-03-03 15:07:00 UTC,,,,1
31583,25273,Complete,M,2024-01-15 02:38:00 UTC,,2024-01-17 02:05:00 UTC,2024-01-21 10:33:00 UTC,1
4115,3293,Shipped,M,2023-01-24 00:43:00 UTC,,2023-01-25 12:59:00 UTC,,2
116452,93153,Complete,F,2021-12-09 06:41:00 UTC,,2021-12-09 18:58:00 UTC,2021-12-11 04:37:00 UTC,2
60582,48401,Cancelled,M,2024-08-01 16:26:00 UTC,,,,1
59505,47536,Cancelled,M,2020-05-29 04:50:00 UTC,,,,1
23542,18888,Processing,M,2021-06-18 09:25:00 UTC,,,,1
11704,9377,Cancelled,F,2023-07-08 18:36:00 UTC,,,,1
27773,22220,Complete,F,2024-06-29 02:13:00 UTC,,2024-07-01 02:33:00 UTC,2024-07-02 09:41:00 UTC,1
22286,17919,Complete,F,2024-05-24 09:21:00 UTC,,2024-05-26 04:06:00 UTC,2024-05-26 21:07:00 UTC,1
21498,17287,Shipped,F,2024-08-21 17:34:00 UTC,,2024-08-21 17:53:00 UTC,,1
84172,67206,Complete,M,2024-08-18 00:15:00 UTC,,2024-08-18 14:09:00 UTC,2024-08-22 21:02:00 UTC,1
47540,38015,Shipped,M,2024-05-11 03:25:00 UTC,,2024-05-11 20:11:00 UTC,,1
109173,87297,Cancelled,F,2022-12-31 00:54:00 UTC,,,,1
16642,13325,Shipped,F,2023-09-24 02:13:00 UTC,,2023-09-24 12:36:00 UTC,,4
124931,99862,Shipped,M,2023-08-04 08:49:00 UTC,,2023-08-05 05:14:00 UTC,,1
60754,48548,Complete,F,2023-09-28 03:40:00 UTC,,2023-09-30 13:15:00 UTC,2023-10-04 05:26:00 UTC,1
68316,54504,Complete,F,2024-06-26 09:50:00 UTC,,2024-06-29 04:39:00 UTC,2024-07-02 12:51:00 UTC,1
50023,39990,Complete,M,2024-07-25 09:25:00 UTC,,2024-07-25 12:47:00 UTC,2024-07-27 13:01:00 UTC,1
109447,87501,Complete,F,2020-07-15 15:05:00 UTC,,2020-07-16 09:50:00 UTC,2020-07-18 21:53:00 UTC,1
6556,5194,Processing,F,2024-01-09 03:16:00 UTC,,,,1
10949,8766,Shipped,F,2024-01-18 06:32:00 UTC,,2024-01-19 02:49:00 UTC,,2
97399,77862,Processing,M,2024-05-08 17:49:00 UTC,,,,4
52008,41617,Returned,F,2024-02-20 05:26:00 UTC,2024-02-24 16:59:00 UTC,2024-02-21 08:05:00 UTC,2024-02-24 06:03:00 UTC,1
34015,27147,Shipped,M,2024-06-19 13:30:00 UTC,,2024-06-20 08:15:00 UTC,,1
85638,68352,Processing,F,2021-06-15 03:56:00 UTC,,,,4
23504,18860,Cancelled,M,2023-05-04 18:26:00 UTC,,,,1
71450,57058,Returned,M,2024-03-16 11:01:00 UTC,2024-03-19 22:23:00 UTC,2024-03-17 18:10:00 UTC,2024-03-19 21:48:00 UTC,4
77976,62237,Complete,M,2021-11-25 07:32:00 UTC,,2021-11-27 15:08:00 UTC,2021-11-30 16:52:00 UTC,3
26616,21305,Cancelled,F,2022-11-11 01:26:00 UTC,,,,1
44844,35818,Processing,F,2023-07-01 13:33:00 UTC,,,,2
79471,63409,Cancelled,F,2023-03-12 00:22:00 UTC,,,,2
86974,69425,Processing,M,2023-03-11 18:34:00 UTC,,,,1
88745,70864,Processing,F,2024-02-26 06:09:00 UTC,,,,1
29709,23775,Complete,F,2020-11-02 01:50:00 UTC,,2020-11-02 18:58:00 UTC,2020-11-06 13:52:00 UTC,1
98934,79107,Shipped,F,2024-09-01 12:59:26.927651 UTC,,2024-09-03 05:16:26.927651 UTC,,2
17656,14118,Complete,F,2023-01-22 08:48:00 UTC,,2023-01-24 22:06:00 UTC,2023-01-26 11:38:00 UTC,3
73042,58338,Shipped,F,2024-04-19 18:16:00 UTC,,2024-04-22 16:46:00 UTC,,1
14866,11921,Processing,F,2023-09-27 08:58:00 UTC,,,,1
89344,71350,Complete,F,2023-08-04 17:44:00 UTC,,2023-08-07 17:32:00 UTC,2023-08-11 18:24:00 UTC,1
27435,21953,Shipped,M,2023-09-09 07:17:00 UTC,,2023-09-11 03:42:00 UTC,,1
101316,81003,Complete,F,2022-02-23 00:31:00 UTC,,2022-02-25 16:18:00 UTC,2022-03-02 14:05:00 UTC,2
3721,2984,Shipped,F,2023-12-07 12:32:00 UTC,,2023-12-08 14:43:00 UTC,,2
11276,9027,Processing,F,2020-11-22 15:43:00 UTC,,,,1
5616,4443,Shipped,M,2024-05-27 08:10:00 UTC,,2024-05-29 02:34:00 UTC,,1
35285,28135,Complete,M,2021-03-15 18:44:00 UTC,,2021-03-15 23:09:00 UTC,2021-03-17 06:25:00 UTC,1
109094,87245,Shipped,F,2021-10-19 11:48:00 UTC,,2021-10-20 14:32:00 UTC,,4
119429,95498,Shipped,M,2024-08-17 11:07:00 UTC,,2024-08-18 21:33:00 UTC,,2
20379,16371,Cancelled,M,2022-12-30 11:48:00 UTC,,,,1
59900,47863,Shipped,F,2024-08-21 02:31:00 UTC,,2024-08-24 00:30:00 UTC,,4
124148,99229,Shipped,F,2023-09-08 03:12:00 UTC,,2023-09-08 19:40:00 UTC,,1
106372,85065,Processing,M,2024-07-02 00:24:00 UTC,,,,1
77005,61466,Complete,M,2022-05-23 17:49:00 UTC,,2022-05-26 05:17:00 UTC,2022-05-29 03:00:00 UTC,1
97310,77793,Shipped,F,2023-10-29 15:48:00 UTC,,2023-10-31 23:11:00 UTC,,1
39691,31665,Complete,F,2024-08-30 12:55:00 UTC,,2024-09-01 04:23:00 UTC,2024-09-05 13:01:00 UTC,1
27661,22151,Shipped,F,2021-08-14 11:27:00 UTC,,2021-08-14 14:18:00 UTC,,4
55941,44753,Processing,F,2024-01-04 05:57:00 UTC,,,,4
26405,21147,Complete,F,2022-12-22 15:48:00 UTC,,2022-12-23 01:27:00 UTC,2022-12-24 20:28:00 UTC,1
103347,82667,Processing,M,2022-02-27 10:52:00 UTC,,,,1
4936,3928,Cancelled,F,2022-03-14 09:12:00 UTC,,,,2
62675,50053,Complete,M,2023-04-14 01:41:00 UTC,,2023-04-16 08:14:00 UTC,2023-04-20 05:05:00 UTC,1
4942,3932,Shipped,M,2022-11-29 13:47:00 UTC,,2022-11-30 14:10:00 UTC,,1
86988,69433,Returned,M,2022-12-19 14:15:00 UTC,2022-12-23 09:46:00 UTC,2022-12-22 07:50:00 UTC,2022-12-23 07:55:00 UTC,1
7209,5720,Returned,F,2024-01-08 08:55:00 UTC,2024-01-12 03:40:00 UTC,2024-01-09 08:40:00 UTC,2024-01-10 22:23:00 UTC,4
83759,66888,Complete,M,2024-06-18 11:56:00 UTC,,2024-06-19 01:03:00 UTC,2024-06-20 14:47:00 UTC,4
7607,6040,Shipped,M,2023-10-20 09:12:00 UTC,,2023-10-21 00:19:00 UTC,,3
50410,40294,Shipped,M,2024-08-09 08:53:00 UTC,,2024-08-09 20:52:00 UTC,,1
26317,21075,Cancelled,M,2023-02-08 11:43:00 UTC,,,,1
42248,33720,Processing,M,2023-07-16 03:37:00 UTC,,,,1
113625,90902,Shipped,F,2024-08-12 10:07:00 UTC,,2024-08-14 18:14:00 UTC,,2
70774,56535,Processing,F,2022-09-21 05:01:00 UTC,,,,1
111180,88917,Complete,M,2023-12-10 15:10:00 UTC,,2023-12-11 11:20:00 UTC,2023-12-15 12:08:00 UTC,2
9758,7779,Complete,M,2024-04-05 11:47:00 UTC,,2024-04-07 16:10:00 UTC,2024-04-11 14:33:00 UTC,1
7363,5838,Processing,M,2021-02-07 11:59:00 UTC,,,,1
99995,79962,Shipped,M,2023-05-30 05:59:00 UTC,,2023-05-30 17:44:00 UTC,,1
91859,73382,Shipped,M,2023-03-16 15:34:00 UTC,,2023-03-18 08:15:00 UTC,,1
10892,8723,Cancelled,M,2021-09-01 05:35:00 UTC,,,,1
86315,68923,Shipped,M,2023-07-21 16:24:00 UTC,,2023-07-22 23:01:00 UTC,,1
121422,97065,Cancelled,M,2023-10-30 18:16:00 UTC,,,,1
22083,17752,Returned,F,2024-01-07 10:01:00 UTC,2024-01-13 02:24:00 UTC,2024-01-10 05:33:00 UTC,2024-01-12 05:28:00 UTC,1
41915,33454,Shipped,F,2023-09-30 05:19:00 UTC,,2023-10-02 07:59:00 UTC,,1
40569,32370,Shipped,F,2022-05-29 05:01:00 UTC,,2022-05-29 15:29:00 UTC,,2
14406,11523,Shipped,M,2023-01-09 05:07:00 UTC,,2023-01-09 19:59:00 UTC,,1
57826,46225,Shipped,M,2022-01-14 17:10:00 UTC,,2022-01-17 11:51:00 UTC,,1
2718,2183,Shipped,F,2023-02-02 11:28:00 UTC,,2023-02-04 19:49:00 UTC,,2
85941,68598,Shipped,M,2021-02-10 13:37:00 UTC,,2021-02-12 00:31:00 UTC,,1
84568,67528,Complete,M,2022-12-05 13:10:00 UTC,,2022-12-07 04:59:00 UTC,2022-12-11 22:02:00 UTC,4
