id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
11102,27.84000000357628,Intimates,Bali Women's Smooth It Out Full Slip With Bali Concealers Underwire,Bali,48.0,Women,52C4608C2F126708211B9E0A60EAF050,2
5735,14.766000021249056,Leggings,Generation19 Basic Skinny Jean Leggings (Jeggings) Women's,Honey Bun,23.0,Women,6D34D468AC8876333C4D7173B85EFED9,2
20529,6.66499996650964,Suits & Sport Coats,Allegra K Mens Fashion Single Breasted Pockets Front Simple Design Solid Color Blazer Gray S,Allegra K,15.5,Men,31910E7811999746BCAEC5C692B7F04D,9
18954,40.13200003001839,Sweaters,Quiksilver Waterman Men's Chunkomatic,Quiksilver,79.0,Men,F76CB028C8ECFFBA608227BE898F41A8,9
27437,15.100000042002648,Swim,Kanu Surf Men's Havana Trunks,Kanu Surf,25.0,Men,D95A2FA315683F22CFA4713558F64DFE,4
20564,25.085500284720208,Jeans,Carhartt Men's Men's Relaxed Fit Straight Leg Jean,Carhartt,45.61000061035156,Men,AA40DF143035C234478BE31C91463953,3
11733,41.039999887347214,Intimates,Ladies First SofteeÂ® 2 Post Mastectomy Camisole without Lace,Ladies First,72.0,Women,4B880D619BBBCBBEA22B13BFA30A1ACE,4
14856,15.812000095844269,Maternity,Fit2BMom Women's Maternity Tech Energize Capri Pant,Fit2BMom,33.5,Women,B050B09D2D80BDC271A775F5B4639258,10
17962,10.449539761482775,Fashion Hoodies & Sweatshirts,RetroFit Men's Long Sleeve Pullover Hoodie Sweater White & Blue,Retrofit,19.979999542236328,Men,8FDF49DF8918609C0E4E1B06F2A0BB10,10
4838,78.35559826249033,Jeans,Diesel Women's Livier Jegging in Blue Wash,Diesel,137.9499969482422,Women,BDEEECD97342DADA47213D06BBD67C2C,10
20829,90.42399990186097,Jeans,AG Adriano Goldschmied Men's Matchbox Slim Straight Jean,AG Adriano Goldschmied,178.0,Men,F985CFF158C7CFB0FC2D5D05F731809F,4
6453,66.5519998781383,Shorts,McGinn Women's Tabitha Short,McGinn,141.0,Women,A160A01C5CED2A79BC07E2B2EF1A2ADA,5
20842,44.10280076405388,Jeans,Ariat 8398 Men's M2 Relaxed Granite,Ariat,82.9000015258789,Men,A44879FE303DD43AD3F90D288329C039,1
2002,34.83509858758524,Fashion Hoodies & Sweatshirts,neff Juniors Lucky,NEFF,69.94999694824219,Women,4BA29B9F9E5732ED33761840F4BA6C53,5
13545,14.180060706364516,Swim,Black Brown White Sexy Halter Retro One Piece,Beach Joy,35.9900016784668,Women,BAE00FB8B4115786BA5DBBB67B9B177A,10
18634,22.77000004425645,Active,Quiksilver Men's Throw Back Pullover,Quiksilver,49.5,Men,C05AAFFC668EAA784DBBC2B10DB0483C,9
885,66.99199979752302,Sweaters,Sofie Women's 100% Cashmere V-Neck Tunic Sweater,Sofie,158.0,Women,0EFE32849D230D7F53049DDC4A4B0C60,2
18282,10.600000049453229,Active,adidas Men's Techfit DIG Short Tight,adidas,25.0,Men,A9DCBCF84C2C778F7DC54733DC57BE25,4
11179,18.93800000101328,Intimates,ASSETS by Sara Blakely Chic Peek Mid Thigh Shaper 1155A,Assets,34.0,Women,5989ADD1703E4B0480F75E2390739F34,4
13297,37.74000016972423,Swim,Nautica Women's Classic Solids One Piece,Nautica,85.0,Women,5DC86332C108BC63CAFA5C4EA0D34AE1,8
14314,5.170019888314437,Accessories,Women's Skinny Flat Wallet #10851-3,Marshal,12.989999771118164,Women,8A6CB96EABDD2BE1FE1E8BF4043D385F,8
3412,10.399999935179949,Dresses,Wrapper One-Shoulder Gathered Dress,Wrapper,25.0,Women,90F1F4972D133619A60C30F3559EC0C5,2
