user,session,start_seq_num,start_time,end_seq_num,purchase_time,time_taken
83475,0bb54e63-2905-4f7b-b998-959557703edd,1,2021-11-27 08:23:48 UTC,7,2021-11-30 08:34:43 UTC,0-0 0 72:10:55
11499,92dfec02-31d8-4eee-9e8c-8b309276c50e,1,2022-12-25 01:54:56 UTC,5,2022-12-25 01:57:13 UTC,0-0 0 0:2:17
5454,21b8ef7d-76ca-439f-896c-c6cb2af925a0,1,2022-04-11 02:49:33 UTC,13,2022-04-11 03:06:14 UTC,0-0 0 0:16:41
5215,b1f9ec87-5e6b-46c0-aac9-1325ec37e34d,1,2024-08-31 18:12:56 UTC,10,2024-09-01 18:24:07 UTC,0-0 0 24:11:11
34612,d50cbdc6-461b-464a-817f-7881c1e38b85,1,2021-12-13 12:13:24 UTC,5,2021-12-13 12:18:28 UTC,0-0 0 0:5:4
84398,0323164b-5aed-4630-8d77-22fbde5d5ba7,1,2024-04-29 22:26:10 UTC,5,2024-04-29 22:32:14 UTC,0-0 0 0:6:4
23424,bb98f832-9b52-4322-929d-f7af017dfee7,1,2024-01-20 17:49:42 UTC,5,2024-01-20 17:53:34 UTC,0-0 0 0:3:52
38353,b00c9e3c-62b4-4122-b956-3503b34cc445,1,2024-06-13 12:11:11 UTC,5,2024-06-13 12:13:30 UTC,0-0 0 0:2:19
78780,06d43ea0-f5b5-45cd-a375-864b90a5388f,1,2022-10-27 12:45:00 UTC,5,2022-10-27 12:50:49 UTC,0-0 0 0:5:49
26477,082f48fa-8884-4f76-a751-987c26f0b06b,1,2023-08-25 03:54:12 UTC,7,2023-08-28 04:05:17 UTC,0-0 0 72:11:5
87117,8b865282-76a0-403a-8a78-77ad2e2f69e5,1,2024-02-08 11:41:45 UTC,5,2024-02-08 11:49:28 UTC,0-0 0 0:7:43
69096,751111d6-8d4c-4623-bddf-8329a20e6a82,1,2024-04-23 23:18:16 UTC,7,2024-04-23 23:26:25 UTC,0-0 0 0:8:9
78369,76510b72-acbb-4068-85b9-5a6896519bb7,1,2023-07-02 21:48:40 UTC,13,2023-07-03 22:13:44 UTC,0-0 0 24:25:4
1719,c87ad68e-9e22-402c-8492-8ac365d4f336,1,2021-03-21 05:56:08 UTC,13,2021-03-21 06:18:12 UTC,0-0 0 0:22:4
18515,92e33e1a-7662-4ff8-abbd-6fe95261e903,1,2020-12-13 23:58:12 UTC,10,2020-12-15 00:13:37 UTC,0-0 0 24:15:25
10160,678b31af-8b69-4a79-9608-c596bda21543,1,2024-08-10 02:53:51 UTC,7,2024-08-12 02:59:18 UTC,0-0 0 48:5:27
97313,aacbf735-9de6-482c-b2d8-90b3ed107914,1,2023-11-23 11:22:11 UTC,7,2023-11-25 11:32:13 UTC,0-0 0 48:10:2
51165,5001d034-2d9f-4c37-ae04-bc282bc4873a,1,2022-08-18 01:20:34 UTC,5,2022-08-18 01:27:49 UTC,0-0 0 0:7:15
